user_id,followers_count,official,top_user,high_quality
2025330667,519921,0,1,1
1928708013,18101,0,0,0
5163840032,55,0,0,0
2075245652,1322768,1,1,1
1887344341,19574351,1,1,1
3815664603,137035,1,1,0
3978337923,179134,1,1,0
1646080864,82191,0,0,1
3818838385,8027,0,0,1
3296569781,769927,0,1,1
2696084694,387582,1,1,0
1618051664,110125865,1,1,1
6606179462,96414,0,0,0
2773591493,240023,1,1,1
5058527023,20513,1,0,0
5018738901,261,0,0,0
2952435102,6291551,0,1,1
3926128864,244041,1,0,0
3956626314,265,0,0,0
6525943125,252362,1,0,0
1906286443,2771299,0,1,1
3215951873,5657475,0,1,1
2455856461,414,0,0,0
7360594450,3009757,1,1,1
2392010655,313596,0,1,1
2590508280,483267,0,1,0
5883677894,370099,1,1,1
5387172075,3225,0,0,0
2608223021,454060,1,1,0
7058176182,73,0,0,0
7733336507,1,0,0,0
1704728922,489,0,0,0
6212334781,5,0,0,0
1286211941,339168,0,0,0
7400560359,8,0,0,0
6861060185,584,0,0,0
1981114863,444,0,0,0
2489596935,1092328,1,1,0
6047521398,58,0,0,0
2357622927,301471,1,1,0
6898708407,194673,1,0,0
2699203851,1048,1,0,0
3693534513,268660,1,1,0
1847251991,1362815,1,1,1
5086160970,338312,0,1,1
3194947380,139935,1,0,0
5819037085,14,0,0,0
2795435707,34684,1,0,0
1728597087,491056,0,1,1
1289127121,2001,0,0,0
1910355794,1385245,1,1,1
3267315877,1390786,1,1,0
6368573516,1079640,0,1,1
5417586625,168,0,0,0
3482589012,224267,0,1,1
2819163635,97,0,0,0
6038064238,161,0,0,0
5644298554,34,0,0,0
2159138953,19745,1,0,0
1201810154,90529,0,0,1
2599892125,938832,1,1,1
1936009361,1209944,0,1,1
2526056150,213388,1,1,0
2090512390,1655714,1,1,1
1854570915,1353111,0,1,1
1704775054,35867,1,0,0
5112667732,367,0,0,0
6838508658,90887,1,0,0
7474774437,32,0,0,0
2319195074,265046,1,0,0
3872091396,45152,1,0,0
1798000637,321021,0,1,0
2590508332,278664,1,1,0
6561743379,1991,0,0,0
7760798264,25,0,0,0
2447852055,142,0,0,0
2117508734,4791591,1,1,0
7723257644,10523,0,0,0
2100269122,808,0,0,0
2090614144,21295,1,0,0
3720164417,48874,1,0,0
6076535745,33,0,0,0
1644114654,47190052,1,1,1
6131521228,187698,0,1,1
1565103760,2568,0,0,0
2296966735,16638,0,0,0
5658254441,48037,0,0,1
7480769346,273329,1,1,1
6398861213,61,0,0,0
2832386427,777,0,0,0
5714043493,29,0,0,0
2452412294,10025,0,0,0
3515442865,447,0,0,0
1876138275,266432,0,1,1
3964232262,219891,0,0,0
6938267512,292470,1,1,0
6760836922,3,0,0,0
5399140185,142944,0,0,0
6657554205,12509,0,0,1
1967434033,9787,0,0,1
2539857057,2063701,0,1,1
5075036521,95993,1,0,1
5076585224,11253,0,0,0
2978524965,62997,0,0,1
2001272701,2072,0,0,0
5857211270,200,0,0,0
7460141775,6,0,0,0
6579033207,334193,1,0,0
5897816720,337078,1,1,0
2293703917,497801,1,1,1
5911755494,55,0,0,0
7614446198,138,0,0,0
5639531636,732,0,0,0
6679871378,1408,0,0,0
3444847840,322742,1,1,0
5118187928,1151,0,0,0
6235486211,36002,0,0,0
7494004798,4,0,0,0
1731235222,3528,0,0,0
7327708511,31,0,0,0
6307180166,13889,0,0,0
2963114251,830160,0,1,1
6989755763,27,0,0,0
7559890465,10,0,0,0
3210496803,85,0,0,0
3417880500,1152,0,0,0
2803301701,152819709,0,1,1
3808758652,2570,1,0,0
1165783210,78721,0,0,1
7640497077,39,0,0,0
3906506204,79,0,0,0
5035763146,7759682,0,1,1
5935386692,192763,0,1,1
3024855853,379,0,0,0
6463753619,27918,1,0,0
5709538282,19126,0,0,1
7305193756,1870,0,0,0
2268842982,376553,1,1,0
1882632930,5897434,1,1,1
7419690694,491653,1,0,0
5893229038,1141368,1,0,0
7729978677,3805827,0,0,0
7519584823,959538,1,1,1
